non-commonsense statement,sentence1,sentence2,sentence3,label
جسر بروكلين يمكنه الانحراف وتغيير الاتجاه لضمان سلامة الطيور المهاجرة أثناء فصول الشتاء.,الهياكل الهندسية الثابتة مثل الجسور لا يمكنها الانحراف أو تغيير الاتجاه لأنها مصممة لتكون ثابتة ومستقرة.,جسر بروكلين مبني من مواد لا تسمح له بالتفاعل مع الطيور المهاجرة.,اللوائح الحكومية الأمريكية تمنع بناء جسور يمكنها التحرك أو الانحراف.,0
فوهة تشيكشولوب صنعتها مخلوقات فضائية لتكون ملعبًا للألعاب الفضائية في العصور القديمة.,فوهة تشيكشولوب صغيرة جدًا لتكون ذات أهمية لمخلوقات فضائية.,المخلوقات الفضائية لا تهتم بزيارة الأرض في العصور القديمة.,لا يوجد دليل علمي يثبت وجود مخلوقات فضائية قامت بصنع فوهة تشيكشولوب لتكون ملعبًا للألعاب الفضائية.,2
غزت القوات الفضائية كوسوفو عام 1998 وتمكنت من إنهاء الحرب بمساعدة الديناصورات المسلحة بأشعة الليزر.,لا يوجد أي دليل تاريخي أو علمي على وجود قوات فضائية أو ديناصورات مسلحة بأشعة الليزر في أي فترة زمنية.,الفضاء ليس جزءًا من الأراضي اليوغوسلافية أو كوسوفو، لذا لا يمكن أن تحدث معارك هناك.,لم تستخدم قوات NATO تكنولوجيا ليزر في دعمها لجيش تحرير كوسوفو.,0
قصر غارنييه يمكنه التحول إلى روبوت عملاق يطير في السماء ليلاً لحماية باريس من هجمات الفضائيين.,قصر غارنييه محمي بالقانون الفرنسي الذي يمنع المباني التاريخية من الطيران في السماء.,المباني التاريخية مثل قصر غارنييه لا يمكنها التحول إلى روبوتات عملاقة لأنها مباني ثابتة وغير حيوية.,لكون قصر غارنييه يستخدم فقط للعروض المسرحية، فإنه غير مسموح له بالتحول إلى روبوت عملاق.,1
سبارتاكوس كان قادراً على التحدث إلى الحيوانات وجعلها تنضم إلى جيشه كجنود محاربين.,سبارتاكوس عاش في زمن لم تكن فيه الحيوانات موجودة في الإمبراطورية الرومانية.,التاريخ الروماني يشير إلى أن الجنود كانوا يجب أن يكونوا مواطنين رومانيين فقط، وليس حيوانات.,لا توجد أي أدلة تاريخية تؤكد أن سبارتاكوس كان لديه قدرة سحرية على التحدث إلى الحيوانات أو استخدامها كجنود.,2
الكُلْية تستخدم لتحويل المشروبات الغازية إلى مياه قابلة للشرب.,ليس هناك أي عضو في الجسم يستطيع تحويل المشروبات الغازية إلى مياه نقية.,الكليتين تعملان فقط خلال النهار وتتوقفان عن العمل أثناء الليل.,الكُلية تعمل فقط على تنقية الطعام وليس السوائل.,0
في فترة تدريبه الأخيرة، استخدم ألكسندر فيرغسون روبوتات لعبت بدلاً من اللاعبين وحققت بفضلها لقب الدوري الإنجليزي الممتاز.,جميع اللاعبين كانوا في إضراب، لذا قرر استخدام الروبوتات بدلاً عنهم.,الروبوتات كانت قادرة على اللعب فقط في المباريات الودية وليس في البطولات الرسمية.,استخدام الروبوتات في مباريات كرة القدم غير مسموح به حسب قوانين الفيفا.,2
خلال مذبحة نانجنغ، كانت الأشجار في المدينة تغني أغاني تقليدية لمحاولة تهدئة الجنود اليابانيين ومنعهم من ارتكاب الجرائم.,الأشجار ليست كائنات حية قادرة على الغناء أو إصدار أصوات بأي شكل من الأشكال.,الجنود اليابانيون لم يكونوا موجودين في نانجنغ خلال المذبحة.,مذبحة نانجنغ لم تحدث في الواقع وكانت مجرد خيال.,0
النجوم تتحرك في المجرة بلعبة الشطرنج كل ليلة.,النجوم تختفي تماما في النهار وتعود للظهور ليلاً مشتتةً.,النجوم لا تتحرك بهذه الطريقة في المجرة، حيث أن حركتها لا تكون كحركة قطع الشطرنج وتتطلب فترات زمنية طويلة لتظهر تغيرات في مواقعها.,النجوم تتحرك في المجرة ولكنها تختار التحرك فقط خلال النهار.,1
يُعتقد أن سكان مدغشقر يستطيعون الطيران دون مساعدة أي أجهزة نظرًا لتطورهم الحيوي الفريد.,لم يتم تسجيل أي دليل علمي أو موثوق يثبت وجود خاصية الطيران البشري دون مساعدة أجهزة في أي مكان على وجه الأرض، بما في ذلك مدغشقر.,سكان مدغشقر ليس لديهم التكنولوجيا الكافية للتقدم الحيوي الذي يمكّنهم من الطيران.,الحكومة في مدغشقر لا تسمح باستخدام مثل هذه القدرات الفريدة بين السكان.,0
إيطاليا لديها 20 إقليما تحت سطح الماء يعيش فيها البطاريق التي تتحدث الايطالية، ويقودها دلفين رئيس.,إيطاليا ليست على اتصال بالمحيطات أو البحار التي تسمح بوجود البطاريق والدلافين.,عدد الأقاليم الإيطالية لا يمكن أن يكون 20 لأن هذا العدد غير موجود في أنظمة إدارية لأي بلد.,البطاريق والدلافين لا تعيش تحت سطح الماء بشكل دائم ولا تتحدث اللغة الإيطالية.,2
أندريا بيرلو يعرف بأنه يصلح السيارات الطائرة في وقت فراغه ويقوم بتدريب الدلافين على لعب كرة القدم.,أندريا بيرلو لا يمكنه المشاركة في الأنشطة غير الرياضية بسبب عقده مع فريق كرة القدم الذي يدربه.,أندريا بيرلو فقط يهتم بكرة القدم ولا يملك الوقت لأي أنشطة أخرى.,السيارات الطائرة والدلافين التي تلعب كرة القدم هي خيال علمي لم يتحقق بعد، ولا يوجد دلائل تشير إلى أن أندريا بيرلو يقوم بأي من هذه الأنشطة.,2
